,Id,StoriGroupId,ScanNumber,IonNumber,Mz,Slope,InverseInjectionTimeSeconds,RSquared,TimeOfBirth,TimeOfDeath,Charge,ChargeScore,IsMultiIonProduct,FrequencyCorrectionMzDistance
102,103,1,1169,1279,3931.884765625,997171.208262444,93.9496429913566,0.998880445957184,0.0761487279843444,1.17429354207436,23,0.552645916186975,0,
110,111,1,474,582,3137.76611328125,567417.852520943,107.353730542136,0.998370349407196,0.0080156555772994,1.83959295499022,13,0.788124237060547,0,
117,118,1,95,332,2180.251953125,534614.736914635,94.8586605957124,0.998625636100769,0.0080156555772994,1.87566340508806,11,0.965136184692383,0,
123,124,1,1828,2069,4061.54663085938,921774.261474609,84.0265523905554,0.999277830123901,0.0240469667318982,0.985925636007828,17,0.920429452547413,0,
131,132,1,356,170,1825.97058105469,356943.600594997,119.146908137734,0.996041536331177,0.0320626223091977,1.81955381604697,7,0.953456802368164,0,
133,134,1,1057,714,4835.029296875,769898.257017136,95.8405213724363,0.99910444021225,0.0200391389432485,1.87165557729941,17,0.622439765930176,0,
135,136,1,1573,1137,4131.58642578125,652278.578996658,94.6611132146914,0.999366521835327,0.0320626223091977,1.83959295499022,15,0.545713657052128,0,
136,137,1,366,797,2671.541015625,452759.907841682,101.214574898785,0.997770369052887,0.0160313111545988,1.89971037181996,9,0.848289730202505,0,
137,138,1,1891,304,2286.16259765625,520889.88673687,122.564039710749,0.996231198310852,0.0521017612524462,1.43079452054795,9,0.94102173301531,0,
144,145,1,2017,2171,3362.61499023438,591565.969467163,47.5398145947231,0.996304571628571,0.068133072407045,1.84760861056751,12,0.756276568887591,0,
152,153,1,622,772,4066.23315429688,811123.306870461,93.4317481080071,0.998402893543243,0.0360704500978474,1.87566340508806,17,0.921550216674805,0,
156,157,1,616,1259,3733.36010742188,823167.729735374,81.0701256586948,0.999387741088867,0.0160313111545988,1.71535029354207,17,0.538652537433818,0,0.084716796875
161,162,1,676,243,2180.98876953125,510753.534078598,86.7904877625412,0.996542572975159,0.0200391389432485,1.84360078277886,11,0.994290542602539,0,
182,183,1,197,884,2675.86450195312,481895.030617714,112.752283233735,0.997177422046661,0.0120234833659491,1.89169471624266,9,0.922388763427734,0,
192,193,1,744,609,2937.30078125,633813.432574272,86.8357068426537,0.999218046665192,0.0040078277886497,1.89169471624266,14,0.584572722211664,0,
194,195,1,2248,1415,3583.31274414062,1111922.17159271,68.5682940208448,0.998803734779358,0.0160313111545988,1.88367906066536,23,0.702082725683802,0,
195,196,1,2406,2767,4087.52368164063,851677.062988281,8.10977389950368,0.999511659145355,0.0320626223091977,1.85161643835616,17,0.721335296630859,0,
197,198,1,741,609,3181.55859375,622734.95388031,84.8392296597947,0.998504936695099,0.0200391389432485,1.86764774951076,15,0.572851600646973,0,
198,199,1,1056,1420,4458.09033203125,571366.60695076,96.3762528912876,0.998436808586121,0.0280547945205479,1.60313111545988,14,0.621249961853027,0,
203,204,1,184,1331,3680.81005859375,975337.89730072,102.732689541812,0.999583899974823,0.0240469667318982,1.11417612524462,23,0.500649528552973,0,
207,208,1,1528,642,2708.6240234375,514185.112118721,85.3898044573478,0.999494612216949,0.0400782778864971,1.87967123287671,9,0.873503656501491,0,
219,220,1,1023,843,3774.42065429687,1077429.97860909,101.822624987272,0.998580932617188,0.0120234833659491,1.83157729941292,22,0.519629402160645,0,
220,221,1,1768,907,2842.640625,540301.666975021,59.3119810201661,0.998469710350037,0.0280547945205479,1.61916242661448,14,0.789048461914063,0,
221,222,1,2223,1930,4445.978515625,586774.686574936,73.2869182850861,0.996999621391296,0.0040078277886497,1.87566340508806,14,0.532666282653809,0,
230,231,1,243,774,3516.6845703125,944462.162256241,120.845921450151,0.999807715415955,0.0280547945205479,1.84360078277886,20,0.589411277770996,0,
233,234,1,2213,1830,4070.64184570312,833457.712411881,90.8760450745184,0.998540103435516,0.0120234833659491,1.28250489236791,17,0.920615158081055,0,
234,235,1,2106,921,4438.56298828125,907317.262530327,101.936799184506,0.997548639774323,0.0080156555772994,1.04203522504892,19,0.50144676219534,0,
237,238,1,644,869,3937.24047851562,618136.409044266,91.734703238235,0.998330354690552,0.0160313111545988,1.87566340508806,14,0.884586715698242,0,
238,239,1,798,897,4373.73291015625,651453.65524292,96.6837474620516,0.999111592769623,0.0,1.87967123287671,14,0.857953175197844,0,
240,241,1,1470,1023,4062.61352539063,689876.266956329,93.4579439252336,0.997685194015503,0.0120234833659491,1.88367906066536,17,0.807881560677982,0,
242,243,1,2095,153,1974.00805664063,613840.190052986,101.030511214387,0.99890261888504,0.0240469667318982,1.81153816046967,10,0.515985795287002,0,
259,260,1,2405,2533,4115.23974609375,714965.291619301,7.97174812464625,0.997795820236206,0.0160313111545988,1.85963209393346,16,0.533859977722168,0,
261,262,1,752,761,3748.7216796875,565733.404755592,99.3245927691697,0.996263444423676,0.0120234833659491,1.23841878669276,15,0.56741096496582,0,
263,264,1,2266,1195,3837.330078125,784329.488515854,73.7082626962482,0.999315738677979,0.0080156555772994,1.3145675146771,18,0.919683844018261,0,
264,265,1,925,1061,3963.8935546875,981443.01533699,103.177878662815,0.998779654502869,0.0160313111545988,1.87967123287671,21,0.626352806091309,0,
265,266,1,1141,1641,4066.79150390625,982076.11477375,89.2219842969308,0.998637914657593,0.0080156555772994,1.87165557729941,17,0.525375213623047,0,
267,268,1,652,874,3178.95458984375,603582.553744316,86.5426222414539,0.997439980506897,0.0761487279843444,1.84760861056751,12,0.911981506347656,0,
271,272,1,2496,376,2433.34692382812,536038.890838623,12.480187702023,0.995963454246521,0.0040078277886497,1.18230919765166,13,0.544317741394043,0,
274,275,1,1430,1723,4612.78564453125,628320.458889008,89.9442345745638,0.998479962348938,0.0240469667318982,1.69531115459883,15,0.746504592895508,0,
276,277,1,1657,930,3153.4990234375,846608.186125755,93.214019388516,0.99896115064621,0.0160313111545988,1.86764774951076,17,0.585233764648438,0,
278,279,1,2194,927,2415.97045898438,532856.337189674,60.6612071580225,0.99644809961319,0.0,1.82756947162427,10,0.851577758789063,0,
279,280,1,2012,357,2036.59692382812,471350.602030754,61.4024315362888,0.99833881855011,0.0160313111545988,1.89169471624266,9,0.514897727966309,0,
282,283,1,372,995,4154.7919921875,683499.76837635,109.277674571085,0.998455882072449,0.0360704500978474,1.83959295499022,15,0.521465644836426,0,
284,285,1,2348,729,4016.19189453125,647252.221465111,67.5949709341625,0.995340764522553,0.0,1.10215264187867,14,0.688589553833008,0,
285,286,1,2070,462,2179.05883789062,524670.513153076,63.3753723303124,0.997631430625916,0.0080156555772994,1.86363992172211,11,0.735038757324219,0,
286,287,1,2304,1048,3472.38720703125,555756.042718887,50.7125107764085,0.997057318687439,0.0160313111545988,1.83558512720157,11,0.738849202053131,0,
288,289,1,2409,1936,3838.18237304687,742156.769275665,9.97207818109294,0.997431874275208,0.0080156555772994,1.37468493150685,18,0.544942512512207,0,
289,290,1,759,872,3965.5078125,908103.321909904,91.1078717201166,0.998667895793915,0.0200391389432485,1.02600391389432,21,0.559328460693359,0,
291,292,1,431,684,3348.49682617187,548452.037930489,106.837606837607,0.997797608375549,0.0120234833659491,1.88367906066536,12,0.842469100952149,0,
292,293,1,1645,1302,4377.36572265625,938975.767493248,88.7075312694048,0.998914659023285,0.0080156555772994,1.44281800391389,19,0.53085304495644,0,
294,295,1,2413,3879,3437.10107421875,713538.213729858,12.7887050157301,0.998759627342224,0.0080156555772994,1.80352250489237,18,0.571968045957035,0,
295,296,1,583,770,4392.09130859375,819547.129511833,88.8178346211919,0.999540150165558,0.0120234833659491,1.84760861056751,19,0.583521842956543,0,
296,297,1,2430,1795,4075.8818359375,850924.872875214,11.4066706209791,0.999379754066467,0.0160313111545988,1.09814481409002,17,0.920589059493184,0,
297,298,1,2430,1695,3468.30615234375,895248.229622841,11.4066706209791,0.998086273670197,0.0440861056751468,1.87566340508806,20,0.640019607543945,0,
320,321,1,1277,985,3178.45947265625,664969.990134239,83.8996560114103,0.997905254364014,0.0240469667318982,1.47087279843444,12,0.673174285888672,0,
332,333,1,1051,1190,3640.939453125,1002550.87828636,92.5326177477561,0.999324798583984,0.0120234833659491,1.04203522504892,19,0.905196533203125,0,
333,334,1,101,1054,3855.20092773437,965295.172452927,96.6370313103981,0.999688744544983,0.0280547945205479,1.51095107632094,18,0.636922798156738,0,
334,335,1,293,1276,4600.453125,556877.992630005,99.4233446013124,0.999393820762634,0.0160313111545988,1.51095107632094,15,0.667478383444091,0,
341,342,1,2132,1487,2858.30493164062,648176.986455917,55.9816380227286,0.995939075946808,0.0521017612524462,1.51095107632094,12,0.81715461730957,0,
345,346,1,44,1539,3941.09301757812,778375.929355621,60.143140674806,0.999186813831329,0.0200391389432485,1.45083365949119,16,0.553316078186035,0,
348,349,1,730,1779,4302.1181640625,680285.172939301,88.8651915044877,0.997734546661377,0.0040078277886497,1.87566340508806,16,0.589905319213867,0,
350,351,1,90,546,2216.14575195313,548197.89659977,91.399323645005,0.99788898229599,0.0320626223091977,1.57106849315069,11,0.578909072875977,0,
361,362,1,1128,1544,3730.42114257812,534820.815563202,91.6842394792335,0.998544037342072,0.0040078277886497,1.85562426614481,13,0.569617958068848,0,
363,364,1,84,805,3183.19995117188,573899.248361588,99.0883868410622,0.997172832489014,0.0320626223091977,1.84760861056751,12,0.854247436523437,0,
366,367,1,1901,740,3202.17700195312,662135.205626488,117.577895355673,0.997931122779846,0.0080156555772994,1.87967123287671,15,0.557431945800781,0,
369,370,1,152,1612,4429.76025390625,867480.182528496,98.3671060397403,0.997499108314514,0.0160313111545988,1.87566340508806,19,0.628207664489746,0,
370,371,1,1719,5551,4315.8095703125,794412.600636482,22.129768965212,0.999243140220642,0.068133072407045,1.85562426614481,16,0.936821899414062,0,
371,372,1,1598,779,4424.4296875,1071024.66678619,88.339222614841,0.999092638492584,0.0080156555772994,1.86363992172211,22,0.53929069519043,0,0.1513671875
372,373,1,746,846,4078.34497070313,903987.048625946,92.7729845069116,0.999455153942108,0.0160313111545988,1.87967123287671,17,0.928192743544979,0,
373,374,1,2335,1514,4064.9814453125,896527.46450901,89.5896792689482,0.999495208263397,0.0200391389432485,1.81955381604697,17,0.881934356689453,0,
378,379,1,1201,1287,3746.78295898437,701076.455712318,90.0738605656638,0.998713910579681,0.0040078277886497,1.82356164383562,14,0.588089370727539,0,
380,381,1,420,1211,3811.87158203125,709546.148061752,98.7459267305224,0.999192893505096,0.0200391389432485,1.87566340508806,17,0.572197608947754,0,
382,383,1,595,1475,3916.32348632812,1012520.6258297,89.4774516821761,0.999400615692139,0.0120234833659491,1.87566340508806,20,0.566959800720215,0,
393,394,1,306,791,2700.52099609375,496277.377068996,113.752701626664,0.998767495155335,0.0200391389432485,1.83959295499022,10,0.554599567062411,0,
397,398,1,118,935,3786.462890625,1027657.6294899,96.4599209028649,0.999385237693787,0.0040078277886497,1.86764774951076,22,0.65682070489344,0,
401,402,1,568,1303,3808.59252929688,820556.324005127,98.7361769352291,0.997727870941162,0.0721409001956947,1.51495890410959,16,0.569243817843919,0,
409,410,1,1496,289,2116.47314453125,595246.206402779,94.3485234456081,0.99919468164444,0.0040078277886497,1.338614481409,12,0.95231330871582,0,
411,412,1,2183,1310,3922.63452148437,674102.996230125,53.5016853030871,0.996219277381897,0.0280547945205479,1.25445009784736,16,0.835085156624973,0,
424,425,1,1295,1256,4567.01025390625,652422.888875008,94.0645282663908,0.998281836509705,0.0160313111545988,1.85963209393346,15,0.840990829467773,0,
426,427,1,2356,388,4304.6123046875,683115.632414818,59.9736116108912,0.996296882629395,0.0080156555772994,1.38270058708415,16,0.748256759643555,0,
431,432,1,1090,1547,4644.97119140625,887697.271585465,86.400552963539,0.998993277549744,0.0200391389432485,1.85161643835616,20,0.521332052510677,0,
432,433,1,1193,670,3640.57690429687,905682.095766067,88.6682035821954,0.999496281147003,0.0360704500978474,1.85963209393346,19,0.889450988769531,0,
435,436,1,672,946,3343.72021484375,1259631.76894188,93.711929528629,0.999653875827789,0.0120234833659491,1.86363992172211,26,0.59444450378418,0,
440,441,1,364,428,2228.77490234375,540716.504573822,97.4279033515199,0.997228503227234,0.0040078277886497,1.48289628180039,11,0.78474723815918,0,
449,450,1,438,991,4035.69360351563,1010526.23772621,94.9036727721363,0.999656915664673,0.0240469667318982,1.88768688845401,22,0.501541366459552,0,
453,454,1,1754,811,3471.29272460938,1212706.26568794,52.216594433711,0.998067140579224,0.0120234833659491,1.87566340508806,24,0.848669040578388,0,0.037841796875
454,455,1,432,991,4350.96923828125,736440.051317215,106.473594548552,0.996405720710754,0.0120234833659491,1.85161643835616,18,0.653989868164063,0,
457,458,1,2183,495,2095.25708007813,465018.267512322,53.5016853030871,0.997353732585907,0.0641252446183953,1.88768688845401,10,0.763503875732422,0,
458,459,1,2188,1675,3245.38403320313,700085.475087166,53.1264941826489,0.998739778995514,0.0521017612524462,1.83959295499022,14,0.796344772617739,0,
473,474,1,135,1386,3795.72387695312,1091041.15962982,102.082482645978,0.9981929063797,0.0040078277886497,1.3305988258317,23,0.566214408874512,0,
476,477,1,2083,2017,3662.64697265625,528031.672358513,67.3763643713785,0.999256491661072,0.0400782778864971,1.87967123287671,11,0.594904403686523,0,
480,481,1,2284,204,2069.95458984375,493337.512552738,72.8969237498178,0.999834537506104,0.0160313111545988,1.83558512720157,10,0.92583610534668,0,
495,496,1,2036,1981,3320.55102539063,568168.885231018,75.0750750750751,0.998969197273254,0.0160313111545988,1.85562426614481,11,0.825021438598633,0,
496,497,1,1434,512,3152.21215820312,713612.957596779,92.0979922637686,0.998339772224426,0.0200391389432485,1.338614481409,16,0.602485961914062,0,
497,498,1,1419,1319,4064.7705078125,806385.690927506,89.7988505747126,0.998004019260407,0.0160313111545988,1.03802739726027,17,0.928196487426758,0,0.1748046875
505,506,1,2007,466,3379.59106445312,842423.138737679,76.8757687576876,0.998371660709381,0.0480939334637965,0.977909980430528,18,0.865060882568359,0,
515,516,1,1567,992,3667.3271484375,825851.442694664,84.9689863199932,0.99738472700119,0.0200391389432485,1.49892759295499,18,0.544332504272461,0,
